generation,best,mean,median,mean_hidden,max_hidden,elapsed_s
0,500.0,44.599,10.1667,0.0,0,0.182
1,500.0,179.6458,142.6667,0.156,1,0.911
2,500.0,371.1042,420.3333,0.359,2,2.48
3,500.0,415.8958,500.0,0.406,2,4.281
4,500.0,404.0625,500.0,0.609,2,6.148
5,500.0,413.599,500.0,0.672,2,8.085
6,500.0,426.7969,500.0,0.625,2,10.18
7,500.0,443.9427,500.0,0.672,2,12.626
8,500.0,428.9531,500.0,0.828,2,15.059
9,500.0,427.0938,500.0,0.672,2,17.418
10,500.0,423.151,500.0,1.078,2,20.075
11,500.0,407.151,500.0,0.844,2,22.366
12,500.0,392.3333,500.0,0.859,2,24.569
13,500.0,394.6094,500.0,0.703,2,26.724
14,500.0,418.4896,500.0,0.828,2,29.205
15,500.0,405.2031,500.0,0.922,2,31.269
16,500.0,437.0156,500.0,0.984,2,33.765
17,500.0,425.4635,500.0,0.875,2,36.308
18,500.0,457.599,500.0,0.938,2,39.158
19,500.0,429.0938,500.0,1.016,2,41.614
20,500.0,435.9583,500.0,0.859,2,43.969
21,500.0,447.5885,500.0,1.203,2,46.409
22,500.0,412.1198,500.0,1.203,2,48.663
23,500.0,430.2969,500.0,1.141,2,50.995
24,500.0,478.8125,500.0,1.172,2,53.89
25,500.0,419.0677,500.0,1.141,2,56.551
26,500.0,459.5625,500.0,1.203,2,59.207
27,500.0,418.1458,500.0,1.188,2,61.456
28,500.0,451.849,500.0,1.172,2,64.06
29,500.0,445.8229,500.0,1.109,2,66.463
30,500.0,446.8333,500.0,1.234,2,68.965
31,500.0,457.9062,500.0,1.172,2,71.432
32,500.0,425.4531,500.0,1.094,2,73.695
33,500.0,466.1823,500.0,1.188,2,76.277
34,500.0,443.099,500.0,1.234,2,78.699
35,500.0,454.7083,500.0,1.188,2,81.16
36,500.0,438.9896,500.0,1.094,2,83.483
37,500.0,430.5052,500.0,1.203,2,85.793
38,500.0,451.9479,500.0,1.188,2,88.284
39,500.0,418.75,500.0,1.062,2,90.528
40,500.0,467.9167,500.0,1.172,2,93.059
41,500.0,461.8698,500.0,1.203,2,95.572
42,500.0,454.4583,500.0,1.266,2,98.115
43,500.0,458.0469,500.0,1.156,2,100.554
44,500.0,449.6406,500.0,1.328,2,103.078
45,500.0,447.0781,500.0,1.172,2,105.945
46,500.0,466.5,500.0,1.109,2,108.386
47,500.0,461.5625,500.0,1.219,2,111.187
48,500.0,395.6354,500.0,1.109,2,113.799
49,500.0,435.401,500.0,1.078,2,116.558
50,500.0,455.724,500.0,1.188,2,119.594
51,500.0,396.1979,500.0,1.188,2,121.807
52,500.0,478.75,500.0,1.203,2,124.707
53,500.0,442.2448,500.0,1.25,2,127.375
54,500.0,452.1719,500.0,1.156,2,129.831
55,500.0,454.4792,500.0,1.234,2,132.284
56,500.0,456.0312,500.0,1.188,2,134.723
57,500.0,418.2292,500.0,1.188,2,137.389
58,500.0,430.1094,500.0,1.109,2,139.73
59,500.0,443.6875,500.0,1.203,2,142.218
60,500.0,445.1927,500.0,1.141,2,144.712
61,500.0,479.5521,500.0,1.094,2,147.301
62,500.0,416.4948,500.0,1.266,2,149.715
63,500.0,443.6302,500.0,1.156,2,152.145
64,500.0,449.276,500.0,1.266,2,154.651
65,500.0,444.1302,500.0,1.203,2,157.093
66,500.0,432.9427,500.0,1.234,2,159.506
67,500.0,474.901,500.0,1.281,2,162.247
68,500.0,448.599,500.0,1.219,2,164.834
69,500.0,464.2188,500.0,1.188,2,167.492
70,500.0,414.8594,500.0,1.172,2,169.769
71,500.0,423.9635,500.0,1.141,2,172.184
72,500.0,464.8438,500.0,1.203,2,174.755
73,500.0,454.9792,500.0,1.156,2,177.4
74,500.0,469.026,500.0,1.203,2,180.414
75,500.0,437.1094,500.0,1.156,2,182.83
76,500.0,434.224,500.0,1.156,2,185.249
77,500.0,430.1771,500.0,1.281,2,187.66
78,500.0,441.2344,500.0,1.281,2,190.141
79,500.0,471.2604,500.0,1.125,2,192.712
80,500.0,439.8177,500.0,1.281,2,195.15
81,500.0,432.8438,500.0,1.172,2,197.623
82,500.0,462.0312,500.0,1.109,2,200.239
83,500.0,445.6875,500.0,1.125,2,202.658
84,500.0,430.4115,500.0,1.234,2,205.346
85,500.0,462.6927,500.0,1.047,2,207.887
86,500.0,462.4167,500.0,1.266,2,210.461
87,500.0,439.4271,500.0,1.156,2,212.816
88,500.0,482.0469,500.0,1.312,2,215.523
89,500.0,437.6458,500.0,1.156,2,217.988
90,500.0,455.8229,500.0,1.234,2,220.553
91,500.0,446.4948,500.0,1.172,2,222.985
92,500.0,491.9271,500.0,1.109,2,225.649
93,500.0,474.2031,500.0,1.188,2,228.352
94,500.0,462.7135,500.0,1.172,2,230.989
95,500.0,403.9635,500.0,1.188,2,233.209
96,500.0,471.6771,500.0,1.234,2,235.8
97,500.0,459.9688,500.0,1.188,2,238.312
98,500.0,452.3177,500.0,1.078,2,240.77
99,500.0,446.0156,500.0,1.188,2,243.222
